,ERIC-B,VOLV-B,SPOT,DNB,CARL-B,SAND,NOK,TEL,PNDORA,NOVO-B,VWS,ORNBV,ORK,ESSITY-B,KNEBV,EQNR,ORSTED,HEXA-B,GMAB
ERIC-B,0.005181502784342164,0.0013054556589659136,0.0025758698927580244,0.0018420131730879983,0.0006038957490929933,0.0018580281864723407,0.0014014172368439401,0.0009211449545380093,0.00042827614233572286,-0.0013916196328519809,0.0009176408942492677,-0.0008451043340282493,0.0005262330560534236,5.77110125484936e-05,0.0010870821656562188,0.0002455602428164525,-0.0006473111926225455,0.0006532387725807796,-0.000179127402945771
VOLV-B,0.0013054556589659136,0.005648097273376921,0.006336512039332524,0.003773726897859649,0.00148371285828669,0.005438097486280296,0.0027096821768787176,-0.00019503470870565,0.005668119292013313,0.0006192322107855373,0.0033417649222564493,0.0015519801427528724,-0.0007945613241985255,0.0008057941864316986,0.0022154897127200424,0.002148839592584432,0.0014400734436480975,0.003845364778438568,0.0015800967727931997
SPOT,0.0025758698927580244,0.006336512039332524,0.020736255266942713,0.005068043236795514,0.00220311345824213,0.007227893862189441,0.004525715363448301,-0.0022107015425418593,0.009543086254945843,0.0009922874565239232,0.006099651981707595,0.003046077708021344,-0.0001601304712388158,0.0004332328221709039,0.0028890357594594136,0.0015812148210591322,0.003145176184667429,0.004944874580273515,0.003922668458079401
DNB,0.0018420131730879983,0.003773726897859649,0.005068043236795514,0.005357734641042285,0.0018606175981715637,0.004066556463119153,0.0031377398274510314,-0.00020667074010342624,0.005533257261055684,-8.05072295734446e-05,0.0035380600919709083,0.000795741404523787,-0.0010223750495512661,0.0002268632246023876,0.0010559384070080923,0.002904624130975469,0.001380788755370655,0.003177040408730483,0.0016680769918200095
CARL-B,0.0006038957490929933,0.00148371285828669,0.00220311345824213,0.0018606175981715637,0.0038866919775141138,0.0017475683243786816,0.0023592843674980902,0.0007765386991587026,0.0028027580038150523,0.0007216537208392268,0.001258138447668974,0.00047251980045253777,0.0005349613710846728,0.001531292543730869,0.0012816418452857694,0.00017380854088843158,0.0008240645659601762,0.0015187605204029187,0.0015588092364776512
SAND,0.0018580281864723407,0.005438097486280296,0.007227893862189441,0.004066556463119153,0.0017475683243786816,0.008054271709271163,0.002599931492991868,-5.908963071030943e-05,0.0051565743770101286,0.0010472268953744177,0.0030555608671872067,0.0010591509009517809,-0.0006936307070578594,0.0016018794577552261,0.0029885478451098543,0.002486502397639192,0.000869200085552036,0.004913601348698368,0.0013939642170636393
NOK,0.0014014172368439401,0.0027096821768787176,0.004525715363448301,0.0031377398274510314,0.0023592843674980902,0.002599931492991868,0.009864807355656533,1.2532549687304634e-05,0.004910083480348942,0.0005677151255869794,0.0026949507256372684,0.0004886106177508331,-0.0011679850392859136,0.0004214684052651102,0.0007092426560504414,0.0016870508072008082,0.002243967334802344,0.002849677722324442,0.003807099155164758
TEL,0.0009211449545380093,-0.00019503470870565,-0.0022107015425418593,-0.00020667074010342624,0.0007765386991587026,-5.908963071030943e-05,1.2532549687304634e-05,0.0023459097133922417,-0.00015924284303775747,0.0002937808709143612,-0.0007283066756682366,-0.0002152328443333911,0.000615713184783054,0.001122279368435754,0.0008538126928534087,-0.0005245518453105816,-0.0003616236454611255,0.00028763917306691054,0.0005852200895352035
PNDORA,0.00042827614233572286,0.005668119292013313,0.009543086254945843,0.005533257261055684,0.0028027580038150523,0.0051565743770101286,0.004910083480348942,-0.00015924284303775747,0.021716059813316913,0.0020020724312198933,0.006984922357687753,0.002662981150860009,0.0002038432774570123,0.0012988128564958073,0.0031132772739540762,0.001705239769974156,0.0049506261352275606,0.005437395246450619,0.0071190218465693915
NOVO-B,-0.0013916196328519809,0.0006192322107855373,0.0009922874565239232,-8.05072295734446e-05,0.0007216537208392268,0.0010472268953744177,0.0005677151255869794,0.0002937808709143612,0.0020020724312198933,0.0029201772129936014,0.0012189551905325184,0.0019425143689342818,0.00014712408264775252,0.001504207900659123,0.0008844661766503387,0.00024371280808784508,0.0009556304367667417,0.0019102322178681968,0.002465038647153955
VWS,0.0009176408942492677,0.0033417649222564493,0.006099651981707595,0.0035380600919709083,0.001258138447668974,0.0030555608671872067,0.0026949507256372684,-0.0007283066756682366,0.006984922357687753,0.0012189551905325184,0.012613693798123856,0.0022066264423751887,-0.00020018162356284674,0.0010039275182490528,0.0018791510030221805,0.0012091776851793736,0.005970112893487941,0.00518379566336446,0.003539969795839172
ORNBV,-0.0008451043340282493,0.0015519801427528724,0.003046077708021344,0.000795741404523787,0.00047251980045253777,0.0010591509009517809,0.0004886106177508331,-0.0002152328443333911,0.002662981150860009,0.0019425143689342818,0.0022066264423751887,0.007049477799960765,0.0006943228983703277,0.001098952004257115,0.0012780481491084105,0.0013695512637539248,0.0013560730626274154,0.0017690147599554585,0.003228246311547809
ORK,0.0005262330560534236,-0.0007945613241985255,-0.0001601304712388158,-0.0010223750495512661,0.0005349613710846728,-0.0006936307070578594,-0.0011679850392859136,0.000615713184783054,0.0002038432774570123,0.00014712408264775252,-0.00020018162356284674,0.0006943228983703277,0.002503029666659598,0.0007495156755698604,0.0005054548356110458,-0.0004661860110698282,8.19079556967445e-05,-0.0006829125826528487,-0.000394537150061981
ESSITY-B,5.77110125484936e-05,0.0008057941864316986,0.0004332328221709039,0.0002268632246023876,0.001531292543730869,0.0016018794577552261,0.0004214684052651102,0.001122279368435754,0.0012988128564958073,0.001504207900659123,0.0010039275182490528,0.001098952004257115,0.0007495156755698604,0.003830588908102044,0.0017939810737826684,-0.00040043729384113796,0.00015781822187353116,0.00116680137254829,0.0011931366473256367
KNEBV,0.0010870821656562188,0.0022154897127200424,0.0028890357594594136,0.0010559384070080923,0.0012816418452857694,0.0029885478451098543,0.0007092426560504414,0.0008538126928534087,0.0031132772739540762,0.0008844661766503387,0.0018791510030221805,0.0012780481491084105,0.0005054548356110458,0.0017939810737826684,0.0034937568576485383,-0.0002950891378543204,0.001168953750394428,0.0024530998348872264,0.0015491913392349206
EQNR,0.0002455602428164525,0.002148839592584432,0.0015812148210591322,0.002904624130975469,0.00017380854088843158,0.002486502397639192,0.0016870508072008082,-0.0005245518453105816,0.001705239769974156,0.00024371280808784508,0.0012091776851793736,0.0013695512637539248,-0.0004661860110698282,-0.00040043729384113796,-0.0002950891378543204,0.005409802426175508,-0.0001599690259790025,0.0015991833379271835,-0.00015555866472387005
ORSTED,-0.0006473111926225455,0.0014400734436480975,0.003145176184667429,0.001380788755370655,0.0008240645659601762,0.000869200085552036,0.002243967334802344,-0.0003616236454611255,0.0049506261352275606,0.0009556304367667417,0.005970112893487941,0.0013560730626274154,8.19079556967445e-05,0.00015781822187353116,0.001168953750394428,-0.0001599690259790025,0.007350148716125951,0.002589469822501012,0.0026710347502942947
HEXA-B,0.0006532387725807796,0.003845364778438568,0.004944874580273515,0.003177040408730483,0.0015187605204029187,0.004913601348698368,0.002849677722324442,0.00028763917306691054,0.005437395246450619,0.0019102322178681968,0.00518379566336446,0.0017690147599554585,-0.0006829125826528487,0.00116680137254829,0.0024530998348872264,0.0015991833379271835,0.002589469822501012,0.006684830265575478,0.004091353599890274
