Strategy,Best Fitness,Mutation Rate,Sigma,Max Generations,Population Size,Offspring Size,Tournament Size
Basic EP,918.5940014227901,0.2,0.5,100,50,100,4
Advanced EP,859.7834730356012,0.2,0.5,100,50,100,4
Basic EP,856.333227312314,0.2,0.5,100,50,100,4
Basic EP,830.4188840114423,0.2,0.5,100,50,100,4
Basic EP,797.9139298676242,0.2,0.5,100,50,100,4
Advanced EP,753.4336860603472,0.2,0.5,100,50,100,4
Advanced EP,745.0120032699388,0.2,0.5,100,50,100,4
Advanced EP,735.6870163247852,0.2,0.5,100,50,100,4
Advanced EP,706.0307012684926,0.2,0.5,100,50,100,4
Basic EP,703.796983936747,0.2,0.5,100,50,100,4
Basic EP,699.3753113151862,0.2,0.5,100,50,100,4
Basic EP,697.6719826287324,0.2,0.5,100,50,100,4
Basic EP,682.8336318885003,0.2,0.5,100,50,100,4
Advanced EP,657.8000680890791,0.2,0.5,100,50,100,4
Basic EP,650.4564024249421,0.2,0.5,100,50,100,4
Advanced EP,646.763442791414,0.2,0.5,100,50,100,4
Advanced EP,643.5888560270487,0.2,0.5,100,50,100,4
Basic EP,634.1223073294396,0.2,0.5,100,50,100,4
Advanced EP,624.8274064133187,0.2,0.5,100,50,100,4
Advanced EP,605.6466023237995,0.2,0.5,100,50,100,4
Advanced ES,507.541426097567,0.2,0.5,100,50,100,4
Advanced ES,480.31128071966515,0.2,0.5,100,50,100,4
Advanced ES,477.81467731408935,0.2,0.5,100,50,100,4
Basic ES,477.2804013315759,0.2,0.5,100,50,100,4
(μ + λ) ES,477.2475364038995,0.2,0.5,100,50,100,4
Advanced ES,468.86897178354116,0.2,0.5,100,50,100,4
Basic ES,464.7089422739713,0.2,0.5,100,50,100,4
(μ + λ) ES,464.4849405825974,0.2,0.5,100,50,100,4
Basic ES,464.2722900495365,0.2,0.5,100,50,100,4
Basic ES,462.03543098467225,0.2,0.5,100,50,100,4
(μ + λ) ES,461.0667419078363,0.2,0.5,100,50,100,4
Basic ES,460.53008242600407,0.2,0.5,100,50,100,4
(μ + λ) ES,458.39843499881107,0.2,0.5,100,50,100,4
Advanced ES,457.21692740957985,0.2,0.5,100,50,100,4
Advanced ES,454.6834490629497,0.2,0.5,100,50,100,4
Advanced ES,454.09620364914014,0.2,0.5,100,50,100,4
(μ + λ) ES,453.30930234247575,0.2,0.5,100,50,100,4
Basic ES,453.0100830220771,0.2,0.5,100,50,100,4
Advanced ES,451.32455357870657,0.2,0.5,100,50,100,4
(μ + λ) ES,450.56710401889325,0.2,0.5,100,50,100,4
Basic ES,450.01849944940295,0.2,0.5,100,50,100,4
Basic ES,447.3505027796788,0.2,0.5,100,50,100,4
(μ + λ) ES,446.7177180807238,0.2,0.5,100,50,100,4
(μ + λ) ES,444.58416943424953,0.2,0.5,100,50,100,4
Basic ES,443.65707635928135,0.2,0.5,100,50,100,4
(μ + λ) ES,441.78135466721886,0.2,0.5,100,50,100,4
Advanced ES,438.79595050960637,0.2,0.5,100,50,100,4
(μ + λ) ES,433.70250599592265,0.2,0.5,100,50,100,4
Advanced ES,433.37594008809225,0.2,0.5,100,50,100,4
Basic ES,424.34577951349667,0.2,0.5,100,50,100,4
Basic EP,224.98777908791567,0.1,0.1,50,100,200,3
Basic EP,171.77277033673818,0.1,0.1,50,100,200,3
Advanced EP,168.31712820623991,0.1,0.1,50,100,200,3
Advanced EP,167.72091399162056,0.1,0.1,50,100,200,3
